_unit_id_,golden,trusted_judgements,correct_category,correct_category_conf,orig_trusted_judgements,orig_unit_id,orig_unit_state,gold_answer,sentiment,tweet_id,tweet_body
315120697,TRUE,85,No,0.7213,20,1,finalized,"No I can't tell",Negative,81211801,@mention s friday at 6 at tha stadium ...if tha weather bad its gone be in tha gym at 3
315120699,TRUE,74,Yes,0.5178,20,1,finalized,"No I can't tell",Positive,79194811,TGif biatches! Here's to a sunny Friday regardless of rain and drama! #popularnameregardlessofparticipation
315120705,TRUE,56,Yes,1,20,1,finalized,Yes,Neutral / author is just sharing information,84319228,...SHOWERS AND THUNDERSTORMS MOVING SLOWLY OVER THE AREA... AN AREA OF RAIN WITH EMBEDDED THUNDERSTORMS WILL DRIFT SLOW {link}
315120691,TRUE,78,Yes,1,20,1,finalized,Yes,Negative,84314377,The slowest day ever !! And the weather makes it even worse !
315120696,TRUE,70,Yes,1,20,1,finalized,Yes,Neutral / author is just sharing information,84313352,US GAS: Warm-Weather Forecasts Lift Natural Gas Futures {link}
315120702,TRUE,66,Yes,1,20,1,finalized,Yes,Negative,83269583,in the house washing clothes on this rainy day #BORED
315120698,TRUE,74,Yes,1,20,1,finalized,Yes,Negative,82852809,I hate this weather. Good day for a movie marathon though... Xmen! :D
315120692,TRUE,62,Yes,1,20,1,finalized,Yes,Neutral / author is just sharing information,82846118,Fire Weather Watch issued May 17 at 4:21PM CDT expiring May 19 at 9:00PM CDT by NWS Lubbock... {link}
315120693,TRUE,68,Yes,1,20,1,finalized,Yes,Positive,82843785,Im going to lunch early today.   The weather is nice outside so Im going to enjoy #metime somewhere pleasant :)
315120694,TRUE,64,Yes,0.9239,20,1,finalized,Yes,Neutral / author is just sharing information,82840144,Weekend Weather Causes Delays In I-270 Bridge Work  {link}
315120700,TRUE,80,Yes,1,20,1,finalized,Yes,Negative,82518322,"@mention good crowd in Wrigley today, terrible weather. tell that redneck that just called in 2 check the Reds crowd on a Wed. day game"
315120695,TRUE,95,Yes,1,20,1,finalized,Yes,Positive,82510997,Passing out now.  working tonight. Storms today would be nice. Would be great sleeping weather. Mmmm
315120703,TRUE,116,Yes,1,20,1,finalized,Yes,Neutral / author is just sharing information,81996997,#WEATHER:  2:53 pm : 57.0F. Feels 56F. 30.10% Humidity. 6.9MPH Northwest Wind.
315120690,TRUE,98,Yes,1,20,1,finalized,Yes,Positive,81990560,Grilling kabobs on the grill last night was amazing! I'm so glad this weather is finally  here.
315120706,TRUE,69,Yes,1,20,1,finalized,Yes,Positive,80058872,It is hot out here but it feels great
315120701,TRUE,70,Yes,1,20,1,finalized,"Yes I can't tell",Tweet not related to weather condition,83271279,"RT @mention: ""The storm is only that which authenticates your path"" -- @mention"
315120704,TRUE,59,Yes,0.7606,20,1,finalized,"Yes I can't tell",Negative,83257336,Freezing cold Like always whoo buddy excited for tonight let's go #11in11
315121363,FALSE,10,Yes,1,20,1,finalized,,Negative,84321911,soo I pressed my way out to bible study in this weather! truly a #sacrifice
315121327,FALSE,10,Yes,0.8977,20,1,finalized,,Positive,84321854,Oh well I went in the freezing ocean and loved every second of ittt
315121355,FALSE,10,Yes,0.5953,20,1,finalized,,Neutral / author is just sharing information,84321802,"Well, blake survived the weather! RT @mention: Had to go with my gut on this one. This is a tough position to be in.  #TheVoice"
315121412,FALSE,10,Yes,0.6938,20,1,finalized,,Negative,84321613,Severe weather delays White Sox-Rangers {link} via @mention
315121635,FALSE,10,Yes,0.8015,20,1,finalized,,Negative,84321548,The weather has been Forks-ish lately! #Twilight RT @mention: Edward Cullen is painting with @mention and I. {link}
315121257,FALSE,10,Yes,0.7002,20,1,finalized,,Neutral / author is just sharing information,84321540,this must be the end.  the weather channel has gone into commercial-free mode.
315121622,FALSE,10,Yes,1,20,1,finalized,,Negative,84321454,Nothing like sirens going off in the area to add a sense of immediacy to the weather reports.  At least the worst has passed to the north.
315121207,FALSE,10,Yes,0.9037,20,1,finalized,,Tweet not related to weather condition,84321254,These #ExtremeCouponing folk are a BLIZZARD person wanting DREAM! Just have the goodies!
315121344,FALSE,10,Yes,0.8996,20,1,finalized,,Negative,84321217,@mention no shelters but keep close watch on weather :(( hugs
315120940,FALSE,10,Yes,1,20,1,finalized,,Neutral / author is just sharing information,84321176,"Sunny skies over by KC Library, Plaza branch. But ominous skies over Downtown KC. Sirens still ringing. {link}"
315120716,FALSE,10,Yes,0.9001,20,1,finalized,,Neutral / author is just sharing information,84321017,@mention Is any part of this storm system going to make it across the mountains/in to NC & SC?
315120820,FALSE,10,Yes,1,20,1,finalized,,Tweet not related to weather condition,84320961,"Lance Berkman with a snow cone diving catch, yeah it happened"
315120885,FALSE,10,Yes,0.6938,20,1,finalized,,Negative,84320750,RT @mention: You know the old saying: April showers bring May severe thunderstorms.
315121067,FALSE,10,Yes,0.898,20,1,finalized,,Tweet not related to weather condition,84320716,RT @mention: The Graduate School to award more than 635 degrees:  {link}
315121174,FALSE,10,Yes,1,20,1,finalized,,Negative,84320701,Me too RT @mention wowww can #detroit ever get normal and warm weather! Now I'm stuck in traffic motherr efferrr
315121542,FALSE,10,Yes,1,20,1,finalized,,Neutral / author is just sharing information,84320492,"GD: Light Rain and Windy and 54 F at Grand Island, Central Nebraska Regional Airport, NE Winds are from the North at 26 {link}"
315121281,FALSE,10,Yes,0.6978,20,1,finalized,,Positive,84320461,@mention @mention Something else to bear in mind for #muchado - pray for good weather!
