6807fb8a-333f-41fd-bf8b-4b47681a5a08::span:2270:2281~~6807fb8a-333f-41fd-bf8b-4b47681a5a08::span:2370:2378	False	Politicians	
6807fb8a-333f-41fd-bf8b-4b47681a5a08::span:2270:2281~~6807fb8a-333f-41fd-bf8b-4b47681a5a08::span:2370:2378	False	Dusty Hanson and Rand Paul are commenting on politics for a distribution company.	
6807fb8a-333f-41fd-bf8b-4b47681a5a08::span:2270:2281~~6807fb8a-333f-41fd-bf8b-4b47681a5a08::span:2370:2378	False	nothing in the text indicates that person1 and person2 are married	
b7452984-5488-43c0-a9f8-b1cc9f91ac36::span:1646:1652~~b7452984-5488-43c0-a9f8-b1cc9f91ac36::span:1707:1711	False	No indication of marriage between these two entities.	
b7452984-5488-43c0-a9f8-b1cc9f91ac36::span:1646:1652~~b7452984-5488-43c0-a9f8-b1cc9f91ac36::span:1707:1711	False	person1 merely sent a letter to person2.	
b7452984-5488-43c0-a9f8-b1cc9f91ac36::span:1646:1652~~b7452984-5488-43c0-a9f8-b1cc9f91ac36::span:1707:1711	False	the given text does not indicate that person1 and person2 are/were married.	
3494f8e0-ecd4-4f10-86db-95b920744162::span:18:33~~3494f8e0-ecd4-4f10-86db-95b920744162::span:120:125	True	person2 is named as person1's wife.	
3494f8e0-ecd4-4f10-86db-95b920744162::span:18:33~~3494f8e0-ecd4-4f10-86db-95b920744162::span:120:125	True	The people highlighted here are married to each other.	
3494f8e0-ecd4-4f10-86db-95b920744162::span:18:33~~3494f8e0-ecd4-4f10-86db-95b920744162::span:120:125	True	"the text says ""his wife"""	
292069d7-ba8e-43da-b3c2-81488b552239::span:4807:4819~~292069d7-ba8e-43da-b3c2-81488b552239::span:4909:4914	False	nothing in the text indicates that these people are married	
292069d7-ba8e-43da-b3c2-81488b552239::span:4807:4819~~292069d7-ba8e-43da-b3c2-81488b552239::span:4909:4914	False	No indication of marriage here.	
292069d7-ba8e-43da-b3c2-81488b552239::span:4807:4819~~292069d7-ba8e-43da-b3c2-81488b552239::span:4909:4914	False	No indication of marriage.	
bf3a5294-6ccf-4649-a3f3-b9a6cd0aa5f1::span:1829:1831~~bf3a5294-6ccf-4649-a3f3-b9a6cd0aa5f1::span:1837:1841	True	"It says they ""tied the knot"""	
bf3a5294-6ccf-4649-a3f3-b9a6cd0aa5f1::span:1829:1831~~bf3a5294-6ccf-4649-a3f3-b9a6cd0aa5f1::span:1837:1841	True	text states that person1 and person2 tied the knot	
bf3a5294-6ccf-4649-a3f3-b9a6cd0aa5f1::span:1829:1831~~bf3a5294-6ccf-4649-a3f3-b9a6cd0aa5f1::span:1837:1841	True	Kim and Kanye tied the knot	
5b421541-4922-418f-a054-886ce4965d02::span:549:552~~5b421541-4922-418f-a054-886ce4965d02::span:569:579	True	Depp's wife actress Amber Heard	
5b421541-4922-418f-a054-886ce4965d02::span:549:552~~5b421541-4922-418f-a054-886ce4965d02::span:569:579	True	"""wife:"	
5b421541-4922-418f-a054-886ce4965d02::span:549:552~~5b421541-4922-418f-a054-886ce4965d02::span:569:579	True	the text refers to person2 as being the wife of person1	
bd43aacf-2b13-40fa-bd9d-e08a3f26d89d::span:2027:2030~~bd43aacf-2b13-40fa-bd9d-e08a3f26d89d::span:2055:2066	False	the text indicates that person1 is married to someone who is not person2 and that person2 has a fiance who is not person1	
bd43aacf-2b13-40fa-bd9d-e08a3f26d89d::span:2027:2030~~bd43aacf-2b13-40fa-bd9d-e08a3f26d89d::span:2055:2066	False	No indication of marriage here.	
bd43aacf-2b13-40fa-bd9d-e08a3f26d89d::span:2027:2030~~bd43aacf-2b13-40fa-bd9d-e08a3f26d89d::span:2055:2066	False	Lauren Brant and her fiance,' Johns	
f40939d2-dab0-4921-bd60-56ad4e99b94a::span:2168:2175~~f40939d2-dab0-4921-bd60-56ad4e99b94a::span:2306:2314	False	person1 and person2 are acts performing at an event.	
f40939d2-dab0-4921-bd60-56ad4e99b94a::span:2168:2175~~f40939d2-dab0-4921-bd60-56ad4e99b94a::span:2306:2314	False	Person1 has no second word.	
f40939d2-dab0-4921-bd60-56ad4e99b94a::span:2168:2175~~f40939d2-dab0-4921-bd60-56ad4e99b94a::span:2306:2314	False	No indication of marriage between these two entities.	
c393a09d-b1a5-4161-b0e2-073fbcc57cec::span:7068:7076~~c393a09d-b1a5-4161-b0e2-073fbcc57cec::span:7137:7145	False	Person 1 and person 2 have different last words after the first name.	
c393a09d-b1a5-4161-b0e2-073fbcc57cec::span:7068:7076~~c393a09d-b1a5-4161-b0e2-073fbcc57cec::span:7137:7145	False	"""Elon Musk"" is the owner of Tesla and not ""Joe Biden's"" mate."	
c393a09d-b1a5-4161-b0e2-073fbcc57cec::span:7068:7076~~c393a09d-b1a5-4161-b0e2-073fbcc57cec::span:7137:7145	False	"Mush is a ""CEO"""	
1b0e4c01-d122-4951-ae6d-4f0c8fff9e77::span:413:423~~1b0e4c01-d122-4951-ae6d-4f0c8fff9e77::span:461:476	False	daughter is between the highlighted names	
1b0e4c01-d122-4951-ae6d-4f0c8fff9e77::span:413:423~~1b0e4c01-d122-4951-ae6d-4f0c8fff9e77::span:461:476	False	"Skyler is a ""newborn baby girl"""	
1b0e4c01-d122-4951-ae6d-4f0c8fff9e77::span:413:423~~1b0e4c01-d122-4951-ae6d-4f0c8fff9e77::span:461:476	False	Person 1 welcomed a baby girl who is Person 2.	
2d8e35e7-22b7-48d5-9c07-46dd09f04e44::span:3130:3140~~2d8e35e7-22b7-48d5-9c07-46dd09f04e44::span:3146:3154	False	No indication of marriage.	
2d8e35e7-22b7-48d5-9c07-46dd09f04e44::span:3130:3140~~2d8e35e7-22b7-48d5-9c07-46dd09f04e44::span:3146:3154	False	They are not married	
2d8e35e7-22b7-48d5-9c07-46dd09f04e44::span:3130:3140~~2d8e35e7-22b7-48d5-9c07-46dd09f04e44::span:3146:3154	False	No indication of marriage between these two entities.	
eb34ebe3-ad33-40b5-825e-28cc8de86af6::span:5411:5417~~eb34ebe3-ad33-40b5-825e-28cc8de86af6::span:5423:5435	True	"It says that they been married for ""19 years"""	
eb34ebe3-ad33-40b5-825e-28cc8de86af6::span:5411:5417~~eb34ebe3-ad33-40b5-825e-28cc8de86af6::span:5423:5435	True	The article mentions that Person 1 and Person 2 have been together and married for 19 years.	
eb34ebe3-ad33-40b5-825e-28cc8de86af6::span:4710:4712~~eb34ebe3-ad33-40b5-825e-28cc8de86af6::span:4790:4796	False	No indication of marriage between these two entities.	
eb34ebe3-ad33-40b5-825e-28cc8de86af6::span:4710:4712~~eb34ebe3-ad33-40b5-825e-28cc8de86af6::span:4790:4796	False	No indication of marriage.	
eb34ebe3-ad33-40b5-825e-28cc8de86af6::span:4710:4712~~eb34ebe3-ad33-40b5-825e-28cc8de86af6::span:4790:4796	False	"the word ""daughter"" occurs within three words to the left of person2."	
cd9b993c-e130-461a-b072-739402ea3d73::span:2366:2371~~cd9b993c-e130-461a-b072-739402ea3d73::span:2394:2398	False	No indication of marriage here.	
cd9b993c-e130-461a-b072-739402ea3d73::span:2366:2371~~cd9b993c-e130-461a-b072-739402ea3d73::span:2394:2398	False	Refers to Davis denying marriage cert	
